#,sector,company_size ,How frequently do you recruit into the company/organization?,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,Other,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Other,pre-keywords,"Do you have any documentation for your recruitment process? If yes, please upload the document","Do you have any documentation available online which can explain your recruitment process? If yes, please share the URL",industry_4point0,All of these competencies,Decision making,Initiating actions,Supervising,Working with people (Team Player),Applying expertise/technology,Entrepreneurial Thinking,Persuading,Analyzing,Creative,Innovative,Learning,Researching,Planning,Organizing,Influencing,Adaption to Change,Commercial Thinking,Disciplinary Approach,Communication quality (oral),Communication quality (written),Disciplinary Approach,interdisciplinary Approach,multidisciplinary Approach,trans-disciplinary Approach,Other,response_final
8rypn3njdhyxm5kj8uma8rypn3eeiew8,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,Consider the JD given by the client,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Follow the client's requirements,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
7ivzj5otal5nghkq907ivzjjz0yan5iv,Others,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not Required,"No, this does not seem helpful during the recruitment process."
llknsaim7py61s2pcp714yllknsaxryq,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
esl64xmjt3r85233afyesl64xmj0a6zp,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,,,Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,,,No,,https://careers.myntra.com/,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,,,,,,,,,,,,,,,,,,,,,Depends on the Job Profile,Yes
1f0a6r0kfmb4lj6311f0a6r0wswgndqv,Others,More than 250 employees - Large-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,,Short virtual chats (video call/telephonic call for the basic information extraction),,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,Decision making,Initiating actions,Supervising,Working with people (Team Player),Applying expertise/technology,Entrepreneurial Thinking,Persuading,Analyzing,Creative,Innovative,Learning,Researching,Planning,Organizing,Influencing,Adaption to Change,,Disciplinary Approach,Communication quality (oral),Communication quality (written),Disciplinary Approach,interdisciplinary Approach,multidisciplinary Approach,trans-disciplinary Approach,,"No, this does not seem helpful during the recruitment process."
u3p8h7z9xv1k2t5y6b0l8j2m6n0q0r7s6,Education ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
p7z9k1h8x2t6y5b0l7j3m0n6q0r8s1u2,Education ,Between 10-49 employees - Small-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
m6n0h7k9p1z8x2t5y6b0l7j3q0r8s1u2,Education ,More than 250 employees - Large-sized business,Twice in a Year,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
j3m0h6k7p8z9x2t5y6b1l0q0r7s1u2n6,Education ,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectice Goodwill,,,,,,In-depth interview,Structured technical interview,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
t5y6h7k9p1z8x3j0m6n0q0r7s1u2b0l8,Education ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
y5b0h7k9p1z8x2t6j0m6n0q0r7s1u2l8t,Finance ,More than 250 employees - Large-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectice Duration,,,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,,,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,,,Persuading,Analyzing,,,,Researching,,Organizing,,,,,Communication quality (oral),Communication quality (written),,,multidisciplinary Approach,,,Yes
b0l8h7k9p1z8x2t5y6j0m6n0q0r7s1u2y5,Finance ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,Prectice Duration,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
k9p1h8z9x2t5y6b0l7j0m6n0q0r7s1u2h7,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Interview based on Research Legeal Knowledge,Yes,,https://www.ibm.com/blogs/jobs/,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,Applying expertise/technology,,Persuading,Analyzing,Creative,Innovative,Learning,Researching,,,,Adaption to Change,Commercial Thinking,,,,,,multidisciplinary Approach,,,Yes
z9x2h7k9p1t5y6b0l8j0m6n0q0r7s1u2p1,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
x2t5h7k9p1z8y6b0l8j0m6n0q0r7s1u2h7,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
j0m6h7k9p1z8x2t5y6b0l8n0q0r7s1u2p1,IT ,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectical Application,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
m6n0h7k9p1z8x2t5y6b0l7j0q0r7s1u2j0,IT ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
n0q0h7k9p1z8x2t5y6b0l7j0m6r7s1u2h7,IT ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,No,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
q0r7h7k9p1z8x2t5y6b0l7j0m6n0s1u2p1,Legal ,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
r7s1h7k9p1z8x2t5y6b0l7j0m6n0q0u2h7,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
s1u2h7k9p1z8x2t5y6b0l7j0m6n0q0r7p1,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,Decision making,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
u2h7h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1,Legal ,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not Required,"No, this does not seem helpful during the recruitment process."
h7k9h7p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Legal ,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
k9p1h7z8x2t5y6b0l7j0m6n0q0r7s1u2h7,Legal ,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,Analyze the project work carried out from the resume,,,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
p1z8h7k9x2t5y6b0l7j0m6n0q0r7s1u2p1,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
x6b0h7k9p1z8t5y6b0l7j0m6n0q0r7s1u2,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Check the on-field experience,,,,,,In-depth interview,,,,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,As of now we do not need this,"No, this does not seem helpful during the recruitment process."
b0l7h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Refrances,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
l7j0h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not using this and do not required,"No, this does not seem helpful during the recruitment process."
j0m6h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Legal ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,Consider the JD given by the client,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Follow the client's requirements,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
m6n0h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Others,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not Required,"No, this does not seem helpful during the recruitment process."
n0q0h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
q0r7h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,,,Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,,,No,,https://careers.myntra.com/,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,,,,,,,,,,,,,,,,,,,,,Depends on the Job Profile,Yes
r7s1h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Others,More than 250 employees - Large-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,,Short virtual chats (video call/telephonic call for the basic information extraction),,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,Decision making,Initiating actions,Supervising,Working with people (Team Player),Applying expertise/technology,Entrepreneurial Thinking,Persuading,Analyzing,Creative,Innovative,Learning,Researching,Planning,Organizing,Influencing,Adaption to Change,,Disciplinary Approach,Communication quality (oral),Communication quality (written),Disciplinary Approach,interdisciplinary Approach,multidisciplinary Approach,trans-disciplinary Approach,,"No, this does not seem helpful during the recruitment process."
s1u2h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1u2,Others,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
u2h7h7k9p1z8x2t5y6b0l7j0m6n0q0r7s1,Others,More than 250 employees - Large-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectice Duration,,,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,,,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,,,Persuading,Analyzing,,,,Researching,,Organizing,,,,,Communication quality (oral),Communication quality (written),,,multidisciplinary Approach,,,Yes
